name,value,year,lastValue,rank
China,0,1980,0,5
India,0,1980,0,4
Other,3,1980,0,2
United States,2,1980,0,3
Europe,21,1980,0,1
China,0,1981,0,5
India,0,1981,0,4
Other,3,1981,3,3
United States,10,1981,2,2
Europe,48,1981,21,1
China,2,1982,0,4
India,0,1982,0,5
Other,9,1982,3,3
United States,16,1982,10,2
Europe,71,1982,48,1
China,2,1983,2,4
India,0,1983,0,5
Other,11,1983,9,3
United States,26,1983,16,2
Europe,96,1983,71,1
China,2,1984,2,4
India,1,1984,0,5
Other,15,1984,11,3
United States,32,1984,26,2
Europe,117,1984,96,1
China,2,1985,2,4
India,1,1985,1,5
Other,19,1985,15,3
United States,43,1985,32,2
Europe,138,1985,117,1
China,2,1986,2,4
India,1,1986,1,5
Other,24,1986,19,3
United States,51,1986,43,2
Europe,168,1986,138,1
China,2,1987,2,5
India,5,1987,1,4
Other,29,1987,24,3
United States,66,1987,51,2
Europe,194,1987,168,1
China,2,1988,2,5
India,9,1988,5,4
Other,36,1988,29,3
United States,69,1988,66,2
Europe,225,1988,194,1
China,2,1989,2,5
India,12,1989,9,4
Other,40,1989,36,3
United States,74,1989,69,2
Europe,247,1989,225,1
China,4,1990,2,5
India,13,1990,12,4
Other,46,1990,40,3
United States,82,1990,74,2
Europe,264,1990,247,1
China,4,1991,4,5
India,16,1991,13,4
Other,52,1991,46,3
United States,89,1991,82,2
Europe,298,1991,264,1
China,4,1992,4,5
India,18,1992,16,4
Other,57,1992,52,3
United States,99,1992,89,2
Europe,316,1992,298,1
China,4,1993,4,5
India,24,1993,18,4
Other,62,1993,57,3
United States,104,1993,99,2
Europe,343,1993,316,1
China,7,1994,4,5
India,26,1994,24,4
Other,75,1994,62,3
United States,110,1994,104,2
Europe,377,1994,343,1
China,8,1995,7,5
India,29,1995,26,4
Other,83,1995,75,3
United States,127,1995,110,2
Europe,409,1995,377,1
China,14,1996,8,5
India,33,1996,29,4
Other,94,1996,83,3
United States,140,1996,127,2
Europe,449,1996,409,1
China,15,1997,14,5
India,41,1997,33,4
Other,101,1997,94,3
United States,160,1997,140,2
Europe,481,1997,449,1
China,32,1998,15,5
India,57,1998,41,4
Other,122,1998,101,3
United States,186,1998,160,2
Europe,572,1998,481,1
China,39,1999,32,5
India,73,1999,57,4
Other,135,1999,122,3
United States,208,1999,186,2
Europe,620,1999,572,1
China,43,2000,39,5
India,93,2000,73,4
Other,148,2000,135,3
United States,226,2000,208,2
Europe,674,2000,620,1
China,46,2001,43,5
India,122,2001,93,4
Other,164,2001,148,3
United States,257,2001,226,2
Europe,714,2001,674,1
China,55,2002,46,5
India,169,2002,122,4
Other,190,2002,164,3
United States,286,2002,257,2
Europe,744,2002,714,1
China,67,2003,55,5
India,245,2003,169,3
Other,216,2003,190,4
United States,326,2003,286,2
Europe,802,2003,744,1
China,86,2004,67,5
India,355,2004,245,2
Other,234,2004,216,4
United States,354,2004,326,3
Europe,868,2004,802,1
China,116,2005,86,5
India,512,2005,355,2
Other,268,2005,234,4
United States,391,2005,354,3
Europe,936,2005,868,1
China,161,2006,116,5
India,701,2006,512,2
Other,291,2006,268,4
United States,423,2006,391,3
Europe,1007,2006,936,1
China,208,2007,161,5
India,898,2007,701,2
Other,314,2007,291,4
United States,462,2007,423,3
Europe,1083,2007,1007,1
China,250,2008,208,5
India,1122,2008,898,2
Other,354,2008,314,4
United States,505,2008,462,3
Europe,1160,2008,1083,1
China,277,2009,250,5
India,1349,2009,1122,1
Other,403,2009,354,4
United States,543,2009,505,3
Europe,1219,2009,1160,2
China,319,2010,277,5
India,1573,2010,1349,1
Other,445,2010,403,4
United States,579,2010,543,3
Europe,1291,2010,1219,2
China,386,2011,319,5
India,1823,2011,1573,1
Other,486,2011,445,4
United States,609,2011,579,3
Europe,1368,2011,1291,2
China,460,2012,386,5
India,2075,2012,1823,1
Other,529,2012,486,4
United States,644,2012,609,3
Europe,1429,2012,1368,2
China,546,2013,460,5
India,2344,2013,2075,1
Other,565,2013,529,4
United States,679,2013,644,3
Europe,1491,2013,1429,2
China,640,2014,546,4
India,2571,2014,2344,1
Other,601,2014,565,5
United States,720,2014,679,3
Europe,1555,2014,1491,2
China,757,2015,640,3
India,2841,2015,2571,1
Other,645,2015,601,5
United States,757,2015,720,3
Europe,1618,2015,1555,2
China,847,2016,757,3
India,3147,2016,2841,1
Other,685,2016,645,5
United States,810,2016,757,4
Europe,1688,2016,1618,2
China,949,2017,847,3
India,3449,2017,3147,1
Other,730,2017,685,5
United States,859,2017,810,4
Europe,1759,2017,1688,2
China,1021,2018,949,3
India,3746,2018,3449,1
Other,766,2018,730,5
United States,891,2018,859,4
Europe,1826,2018,1759,2
China,1114,2019,1021,3
India,4039,2019,3746,1
Other,800,2019,766,5
United States,912,2019,891,4
Europe,1888,2019,1826,2
China,1212,2020,1114,3
India,4357,2020,4039,1
Other,826,2020,800,5
United States,945,2020,912,4
Europe,1956,2020,1888,2
China,1344,2021,1212,3
India,4683,2021,4357,1
Other,847,2021,826,5
United States,967,2021,945,4
Europe,1998,2021,1956,2
